question,answer,priority,category,topic,model,temperature,follow-up
Domain password reset link not working,"1. Check email for new link
2. Try copying link manually
3. Reset password again",medium,Access Management,reset domain password,llama-3.3-70b-versatile,0.6,
How often should I reset domain password?,"1. Check company policy
2. Update password every 90 days
3. Use strong password",low,Access Management,reset domain password,llama-3.3-70b-versatile,0.6,
My account is locked after 3 failed attempts,"1. Wait for 30 minutes to try again.
2. Use the password reset tool.
3. Verify your account information is up-to-date",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Failed login attempts locked my account,"1. Check your password for typos.
2. Ensure caps lock is off.
3. Try resetting your password",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Account locked due to incorrect password,"1. Recall your last password change.
2. Verify your account status.
3. Use the account unlock feature",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
How to unlock my account after failed logins,"1. Go to the login page.
2. Click on 'Forgot Password'.
3. Follow the password reset prompts",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Locked out of my account after 5 attempts,"1. Verify your account credentials.
2. Check for password expiration.
3. Use the self-service unlock tool",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
My account is locked how do I reset,"1. Visit the company's website.
2. Navigate to the login page.
3. Click on 'Reset Password'",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
What to do when account is locked,"1. Wait for the lockout period to expire.
2. Try to recall your password.
3. Use the password recovery process",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Account locked after multiple failed logins,"1. Check your login history.
2. Ensure you're using the correct username.
3. Reset your password",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
How to unlock account after failed login attempts,"1. Use the account unlock feature.
2. Verify your identity.
3. Create a new password",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Failed to login now my account is locked,"1. Check your login credentials.
2. Ensure your password is correct.
3. Try resetting your password",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Account lockout after too many attempts,"1. Review the company's security policies.
2. Understand the lockout threshold.
3. Plan for password reset",low,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
My account got locked after trying password,"1. Take a break before trying again.
2. Double-check your password.
3. Consider password reset",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Locked out due to too many login attempts,"1. Reflect on recent password changes.
2. Verify your account information.
3. Use the self-service password reset",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
How do I unlock my locked account,"1. Go to the login page and click 'Unlock'.
2. Answer security questions.
3. Set a new password",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Account is locked after password attempts,"1. Ensure you're using the right password.
2. Try the password recovery process.
3. Contact your manager for assistance",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
What to do if my account is locked,"1. Stay calm and review the situation.
2. Check your recent login attempts.
3. Follow the account recovery process",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
My account got locked after login attempts,"1. Verify your login credentials.
2. Check for any account restrictions.
3. Use the password reset feature",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
How to fix a locked account,"1. Identify the reason for the lockout.
2. Take corrective action.
3. Test your new login credentials",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Account locked due to login failure,"1. Review the login failure policy.
2. Understand the lockout period.
3. Prepare for password reset",low,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Locked account after trying to log in,"1. Assess the situation and options.
2. Choose the password reset path.
3. Create a strong new password",high,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
Why is my account locked after attempts,"1. Reflect on recent login attempts.
2. Check for any security alerts.
3. Verify your account status",medium,Access Management,account locked after failed attempts,llama-3.3-70b-versatile,0.6,
How to set up Microsoft Authenticator for MFA?,"1. Download Microsoft Authenticator from the app store.
2. Open the app and click on Add Account.
3. Scan the QR code or enter the code manually.
4. Create a backup of your account.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
MFA not working after password reset,"1. Ensure your password has been updated correctly.
2. Restart the Microsoft Authenticator app.
3. Rescan the QR code or re-enter the code manually.",high,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator app not scanning QR code,"1. Check your phone's camera settings.
2. Ensure the QR code is visible on the screen.
3. Try scanning the code again.",low,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to add multiple accounts to Microsoft Authenticator?,"1. Open the Microsoft Authenticator app.
2. Click on Add Account.
3. Follow the prompts to add each account.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator not sending push notifications,"1. Check your phone's notification settings.
2. Ensure the Microsoft Authenticator app is allowed to send notifications.
3. Restart the app.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Can't find Microsoft Authenticator in app store,"1. Check your app store for available updates.
2. Search for Microsoft Authenticator in the search bar.
3. Try downloading from the official Microsoft website.",low,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to reset Microsoft Authenticator settings?,"1. Open the Microsoft Authenticator app.
2. Click on Settings.
3. Select Reset App.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator asking for old password,"1. Ensure you have updated your password correctly.
2. Try restarting the Microsoft Authenticator app.
3. Re-enter your new password.",high,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to use Microsoft Authenticator with multiple devices?,"1. Set up Microsoft Authenticator on each device.
2. Use the same account credentials for each device.
3. Ensure all devices have the latest app updates.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator not working on new phone,"1. Download and install Microsoft Authenticator on the new phone.
2. Transfer your accounts from the old phone.
3. Test the app to ensure it's working correctly.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to backup Microsoft Authenticator accounts?,"1. Open the Microsoft Authenticator app.
2. Click on Settings.
3. Select Backup Accounts.",low,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator app crashing on launch,"1. Restart your phone.
2. Update the Microsoft Authenticator app.
3. Try launching the app again.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to remove account from Microsoft Authenticator?,"1. Open the Microsoft Authenticator app.
2. Select the account to remove.
3. Click on Remove Account.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator not recognizing my account,"1. Ensure your account credentials are correct.
2. Try restarting the Microsoft Authenticator app.
3. Re-enter your account credentials.",high,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to update Microsoft Authenticator app?,"1. Open the app store.
2. Search for Microsoft Authenticator.
3. Click on Update.",low,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator asking for verification code,"1. Check your email or phone for the verification code.
2. Enter the code in the Microsoft Authenticator app.
3. Complete the verification process.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to enable push notifications for Microsoft Authenticator?,"1. Open the Microsoft Authenticator app.
2. Click on Settings.
3. Enable Push Notifications.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator not working after app update,"1. Restart the Microsoft Authenticator app.
2. Ensure your account credentials are correct.
3. Try resetting the app.",high,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to change Microsoft Authenticator password?,"1. Open the Microsoft Authenticator app.
2. Click on Settings.
3. Select Change Password.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Microsoft Authenticator app not responding,"1. Restart your phone.
2. Force quit the Microsoft Authenticator app.
3. Try launching the app again.",medium,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
How to troubleshoot Microsoft Authenticator issues?,"1. Check the Microsoft Authenticator app settings.
2. Ensure your account credentials are correct.
3. Restart the app and try again.",low,Access Management,Microsoft Authenticator MFA setup,llama-3.3-70b-versatile,0.6,
Why does my SSO keep looping back to login?,"1. Check your browser cookies and clear them if necessary.
2. Verify your username and password are correct.
3. Try a different browser to isolate the issue.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
What causes SSO login loop issue?,"1. Incorrect configuration of SSO settings.
2. Browser cache and cookies not cleared.
3. Network connectivity issues.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
How to fix SSO login loop?,"1. Restart your browser and try again.
2. Check for any recent updates to your SSO software.
3. Verify your account status and permissions.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why am I stuck in SSO login loop?,"1. Check your password expiration date.
2. Ensure you're using the correct login URL.
3. Try resetting your password.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Can't login due to SSO loop,"1. Disable any recently installed browser extensions.
2. Clear your browser's cache and cookies.
3. Try using a different device to login.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO login loop after password reset,"1. Wait a few minutes for the new password to sync.
2. Try logging in with a different browser.
3. Check for any account lockout policies.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why does SSO login loop happen?,"1. Misconfigured SSO settings or authentication protocols.
2. Incompatible browser versions.
3. Network firewall or proxy issues.",low,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO loop issue on mobile device,"1. Check your mobile device's browser settings.
2. Ensure you have the latest SSO app updates.
3. Try using a different mobile browser.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
How to resolve SSO login loop,"1. Verify your SSO configuration and settings.
2. Check for any browser updates or patches.
3. Test your SSO login on a different network.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
What to do for SSO login loop,"1. Check your account status and permissions.
2. Ensure you're using the correct login credentials.
3. Try using a different login method.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO loop after changing password,"1. Wait for the new password to propagate.
2. Try logging in with a different browser or device.
3. Check for any account lockout policies.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why SSO login loop occurs,"1. Incorrect SSO configuration or settings.
2. Browser or device compatibility issues.
3. Network connectivity or firewall problems.",low,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
How to stop SSO login loop,"1. Clear your browser's cache and cookies.
2. Disable any recently installed browser extensions.
3. Try using a different browser or device.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO loop issue on multiple devices,"1. Check your SSO configuration and settings.
2. Verify your account status and permissions.
3. Test your SSO login on a different network.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why does my SSO keep looping,"1. Check your browser settings and extensions.
2. Ensure you're using the correct login URL.
3. Try resetting your password.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO login loop on new device,"1. Ensure you have the latest SSO app updates.
2. Check your device's browser settings.
3. Try using a different mobile browser.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
What causes my SSO to loop,"1. Misconfigured SSO settings or authentication protocols.
2. Incompatible browser versions.
3. Network firewall or proxy issues.",low,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
How to fix SSO loop issue,"1. Restart your browser and try again.
2. Check for any recent updates to your SSO software.
3. Verify your account status and permissions.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
SSO loop after updating browser,"1. Check your browser settings and extensions.
2. Ensure you're using the correct login URL.
3. Try resetting your password.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why does SSO loop happen to me,"1. Check your account status and permissions.
2. Ensure you're using the correct login credentials.
3. Try using a different login method.",medium,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
How to resolve SSO loop,"1. Verify your SSO configuration and settings.
2. Check for any browser updates or patches.
3. Test your SSO login on a different network.",high,Access Management,SSO login loop issue,llama-3.3-70b-versatile,0.6,
Why is my access denied to shared drive?,"1. Check your network connection
2. Verify your login credentials
3. Ensure you have necessary permissions",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Can't access shared files on network drive,"1. Restart your computer
2. Check drive mapping
3. Verify file permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Access to shared drive is restricted,"1. Check with your supervisor for access
2. Review company policies
3. Ensure you have required clearance",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive access denied suddenly,"1. Check for system updates
2. Verify antivirus software
3. Restart your computer",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
How to regain access to shared drive?,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
What to do when access is denied to shared drive?,"1. Restart your computer
2. Check network connection
3. Verify file permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Why can't I see shared drive on network?,"1. Check drive mapping
2. Verify network connection
3. Ensure you have necessary permissions",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive access issue on my PC,"1. Check for system updates
2. Verify antivirus software
3. Restart your computer",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Need help with shared drive access,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Can't open files on shared drive,"1. Check file permissions
2. Verify drive mapping
3. Ensure you have necessary permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive not accessible after update,"1. Restart your computer
2. Check drive mapping
3. Verify file permissions",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
How to fix access denied to shared drive?,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
What causes access denied to shared drive?,"1. Check network connection
2. Verify file permissions
3. Ensure you have necessary permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive access denied to me only,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Why is shared drive not accessible?,"1. Check drive mapping
2. Verify network connection
3. Ensure you have necessary permissions",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Can't access shared drive after password change,"1. Update your login credentials
2. Verify drive mapping
3. Ensure you have necessary permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive access problem on my laptop,"1. Check for system updates
2. Verify antivirus software
3. Restart your computer",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Need access to shared drive urgently,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Why can't I write to shared drive?,"1. Check file permissions
2. Verify drive mapping
3. Ensure you have necessary permissions",medium,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
Shared drive access denied on Monday morning,"1. Check network connection
2. Verify file permissions
3. Ensure you have necessary permissions",low,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
How to resolve access denied to shared drive?,"1. Check your login credentials
2. Ensure you have necessary permissions
3. Verify drive mapping",high,Access Management,access denied to shared network drive,llama-3.3-70b-versatile,0.6,
My account is expired how do I fix,"1. Go to the company website
2. Click on account settings
3. Update your account information",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Expired account notification keeps popping up,"1. Check your email for expiration notices
2. Verify your account details
3. Renew your account subscription",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
What to do when account is expired,"1. Log out of all devices
2. Wait for 10 minutes
3. Try logging back in",low,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Account expired due to inactivity,"1. Reactivate your account online
2. Update your security questions
3. Change your password",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
How to renew an expired account,"1. Visit the account management page
2. Click on renew account
3. Follow the prompts",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Expired account won't let me log in,"1. Clear your browser cache
2. Try a different browser
3. Check for account lockouts",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Why did my account expire suddenly,"1. Review account expiration policies
2. Check for any notifications
3. Verify your account status",low,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Can't access account due to expiration,"1. Check your account settings
2. Look for expiration dates
3. Renew your account",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
How long does it take to renew an expired account,"1. Check the account renewal process
2. Verify your account information
3. Wait for confirmation",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Account expired and I forgot password,"1. Use the password reset tool
2. Create a new password
3. Log in to your account",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
What happens when my account expires,"1. You will lose access to services
2. Your data will be archived
3. You can renew your account",low,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
How to prevent account expiration,"1. Regularly log in to your account
2. Update your account information
3. Set reminders for expiration dates",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Account expiration date is incorrect,"1. Contact the account administrator
2. Provide proof of correct date
3. Wait for correction",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Can I still use my account after expiration,"1. No, you will not be able to access services
2. You must renew your account
3. Try logging in after renewal",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
How do I know when my account will expire,"1. Check your account settings
2. Look for expiration dates
3. Set reminders",low,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
What to do if account expires during vacation,"1. Set up auto-renewal before leaving
2. Have a colleague monitor your account
3. Renew as soon as possible",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Account expired and I need access now,"1. Try to renew your account online
2. If unsuccessful, try again later
3. Check for any issues",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Do I lose data when my account expires,"1. Your data will be archived
2. You can recover data after renewal
3. Verify data integrity",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
How to check if my account is expired,"1. Log in to your account
2. Check your account settings
3. Look for expiration dates",low,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
Can I get a temporary account while mine is expired,"1. No, temporary accounts are not available
2. You must renew your account
3. Try logging in after renewal",medium,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
What is the process for renewing an expired account,"1. Go to the account management page
2. Click on renew account
3. Follow the prompts",high,Access Management,account expired notification,llama-3.3-70b-versatile,0.6,
"Lost 2FA backup codes, what now?","1. Go to the login page and click 'Forgot 2FA'.
2. Enter your username and password.
3. Follow the prompts to recover your codes.",high,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How to get new 2FA backup codes?,"1. Log in to your account.
2. Navigate to the security settings.
3. Click 'Generate new 2FA codes'.
4. Save the new codes securely.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
2FA backup codes not working,"1. Check the codes for typos.
2. Ensure you're using the most recent codes.
3. Try generating new codes if issues persist.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Forgot where I saved 2FA codes,"1. Check your email for the initial code email.
2. Look in your password manager or secure notes.
3. If still unable to find, generate new codes.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Need 2FA backup code recovery,"1. Visit the account recovery page.
2. Enter your account credentials.
3. Follow the recovery process for 2FA codes.",high,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Can't access account without 2FA,"1. Use a backup code if available.
2. If no codes are available, try the account recovery option.
3. Generate new 2FA codes once access is regained.",high,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How to manage 2FA backup codes?,"1. Store them in a secure location.
2. Use a password manager for safekeeping.
3. Review and update codes periodically.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
2FA codes lost during travel,"1. Access the company's VPN if available.
2. Use a secure internet connection to recover codes.
3. Generate new codes and save them securely.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
What if I've used all 2FA backup codes?,"1. Generate a new set of codes immediately.
2. Ensure to save them securely to avoid future issues.
3. Consider increasing the number of backup codes if frequently used.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Recovering 2FA codes after a password reset,"1. Log in with your new password.
2. Navigate to the 2FA settings.
3. Generate new 2FA codes for security.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Can I use the same 2FA codes for all accounts?,"1. It's not recommended for security reasons.
2. Generate unique codes for each account.
3. Store each set of codes securely.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How often should I update 2FA backup codes?,"1. Review codes every 6 months.
2. Update them if you've used a significant number.
3. Always save new codes securely.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
2FA backup codes not sent to email,"1. Check your spam folder.
2. Ensure your email address is correctly listed in your account.
3. Try generating new codes and have them sent again.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
What to do if 2FA codes are compromised,"1. Immediately generate new codes.
2. Change your account password.
3. Review account activity for any suspicious behavior.",high,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How to securely store 2FA backup codes,"1. Use a reputable password manager.
2. Store them in an encrypted file.
3. Keep a physical copy in a safe place.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
2FA codes recovery process,"1. Go to the account login page.
2. Click on 'Recover 2FA codes'.
3. Follow the on-screen instructions to recover your codes.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Do I need 2FA backup codes for all devices?,"1. Yes, for each device you use to access your account.
2. Generate and save codes for each device separately.
3. Keep them secure to prevent unauthorized access.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
Generating new 2FA codes on a new device,"1. Log in to your account from the new device.
2. Navigate to the 2FA settings.
3. Generate new codes and save them securely.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
What happens if I lose my 2FA backup codes and password,"1. Use the account recovery option.
2. Follow the process to reset your password and recover 2FA codes.
3. Once access is regained, generate new codes and update your password.",high,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How to prevent losing 2FA backup codes,"1. Store them in multiple secure locations.
2. Use a password manager for easy access.
3. Regularly review and update your codes.",low,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
2FA backup codes recovery after account lockout,"1. Wait for the lockout period to expire.
2. Use a backup code if available to regain access.
3. Generate new codes once you've regained access to your account.",medium,Access Management,2FA backup codes recovery,llama-3.3-70b-versatile,0.6,
How to request admin access,"1. Log in to the access management portal
2. Click on 'Request Access'
3. Select 'Admin' role
4. Provide a valid reason
5. Submit the request",medium,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,What happens after submitting the request?
Need elevated privileges,"1. Review the access policy
2. Identify required role
3. Submit a privileged access request
4. Wait for approval
5. Verify new privileges",high,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,How long does the approval process take?
Access denied to sensitive data,"1. Check current role and permissions
2. Request additional access if needed
3. Provide justification for access
4. Wait for approval
5. Verify access to sensitive data",medium,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,What if access is still denied after approval?
How to access restricted systems,"1. Review the system's access policy
2. Request privileged access
3. Provide a valid reason
4. Wait for approval
5. Use approved access methods",high,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,Are there any alternative access methods?
Requesting temporary admin rights,"1. Log in to the access management portal
2. Click on 'Temporary Access'
3. Select 'Admin' role
4. Specify the time frame
5. Submit the request",medium,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,Can the temporary access be extended?
Privileged access for new employee,"1. Onboard the new employee
2. Assign required roles
3. Grant necessary privileges
4. Monitor access and usage
5. Review and adjust access as needed",medium,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,What is the process for removing access when an employee leaves?
Access to confidential files,"1. Check current permissions
2. Request access if needed
3. Provide a valid reason
4. Wait for approval
5. Handle files according to policy",high,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,How are confidential files protected?
Elevate my account privileges,"1. Review the access policy
2. Identify required role
3. Submit a privileged access request
4. Wait for approval
5. Verify new privileges",medium,Access Management,privileged access request,llama-3.3-70b-versatile,0.6,What are the responsibilities with elevated privileges?
